date,label
11/16/2019,25.31
11/23/2019,25.94
11/30/2019,25.68
12/7/2019,24.71
12/14/2019,27.21
12/21/2019,27.25
12/28/2019,25.5
1/4/2020,24.73
1/11/2020,25.97
1/18/2020,24.87
1/25/2020,24.31
2/1/2020,23.75
2/8/2020,24.71
2/15/2020,26.03
2/22/2020,24.02
2/29/2020,23.83
3/7/2020,22.38
3/14/2020,16.84
3/21/2020,17.11
3/28/2020,18.73
4/4/2020,21.86
4/11/2020,22.48
4/18/2020,21.53
4/25/2020,19.8
5/2/2020,20.17
5/9/2020,19.96
5/16/2020,22.19
5/23/2020,22.18
5/30/2020,24.02
6/6/2020,22.78
6/13/2020,24.92
6/20/2020,25.46
6/27/2020,28.64
7/4/2020,29.78
7/11/2020,28.76
7/18/2020,27.27
7/25/2020,27.22
8/1/2020,27.32
8/8/2020,26.36
8/15/2020,26.48
8/22/2020,30.38
8/29/2020,28.13
9/5/2020,28.99
9/12/2020,28.68
9/19/2020,26.75
9/26/2020,27.59
10/3/2020,26.24
10/10/2020,25.4
10/17/2020,25.98
10/24/2020,24.19
10/31/2020,25.85
11/7/2020,26.68
11/14/2020,27.15
11/21/2020,28.59
11/28/2020,30.57
12/5/2020,30.98
12/12/2020,31.36
12/19/2020,32.41
12/26/2020,32.94
1/2/2021,35.14
1/9/2021,31.96
1/16/2021,34.45
1/23/2021,33.18
1/30/2021,38.43
2/6/2021,40.28
2/13/2021,37.7
2/20/2021,37.6
2/27/2021,39.36
3/6/2021,43.19
3/13/2021,42.31
3/20/2021,42.09
3/27/2021,42.81
4/3/2021,44.03
4/10/2021,44.8
4/17/2021,47.38
4/24/2021,49.31
5/1/2021,50.93
5/8/2021,57.23
5/15/2021,52.43
5/22/2021,51.58
5/29/2021,50.47
6/5/2021,53.07
6/12/2021,52.26
6/19/2021,55.48
6/26/2021,57.76
7/3/2021,54.67
7/10/2021,53.28
7/17/2021,51.26
7/24/2021,53.69
7/31/2021,57.02
8/7/2021,55.74
8/14/2021,54.72
8/21/2021,59.32
8/28/2021,61.63
9/4/2021,61.22
9/11/2021,59.82
9/18/2021,63.29
9/25/2021,62.45
10/2/2021,58.76
10/9/2021,59.79
10/16/2021,58.64
10/23/2021,59.08
10/30/2021,59.73
11/6/2021,63.58
11/13/2021,69.65
11/20/2021,73.12
11/27/2021,78.64
12/4/2021,84.37
12/11/2021,74.02
12/18/2021,76.31
12/25/2021,80.65
