date,euro_stoxx
1/2/2015,3139.44
1/5/2015,3023.14
1/6/2015,3007.91
1/7/2015,3026.79
1/8/2015,3135.08
1/9/2015,3042.9
1/12/2015,3084.18
1/13/2015,3133.86
1/14/2015,3089.67
1/15/2015,3157.36
1/16/2015,3202.24
1/19/2015,3220.9
1/20/2015,3244.92
1/21/2015,3269.73
1/22/2015,3322.65
1/23/2015,3382.55
1/26/2015,3414.28
1/27/2015,3372.58
1/28/2015,3358.96
1/29/2015,3371.83
1/30/2015,3351.44
2/2/2015,3370.11
2/3/2015,3414.18
2/4/2015,3415.53
2/5/2015,3408.96
2/6/2015,3398.16
2/9/2015,3347.75
2/10/2015,3383.13
2/11/2015,3374.14
2/12/2015,3417.61
2/13/2015,3447.59
2/16/2015,3433.3
2/17/2015,3438.44
2/18/2015,3465.8
2/19/2015,3488.08
2/20/2015,3490.53
2/23/2015,3519.58
2/24/2015,3547.1
2/25/2015,3541.78
2/26/2015,3574.94
2/27/2015,3599
3/2/2015,3591.09
3/3/2015,3549.11
3/4/2015,3583.44
3/5/2015,3618.21
3/6/2015,3617.62
3/9/2015,3610.28
3/10/2015,3567.25
3/11/2015,3649.54
3/12/2015,3641.32
3/13/2015,3656.21
3/16/2015,3706.75
3/17/2015,3672.16
3/18/2015,3668.52
3/19/2015,3670.73
3/20/2015,3726.07
3/23/2015,3699.04
3/24/2015,3731.35
3/25/2015,3684.04
3/26/2015,3669.79
3/27/2015,3679.03
3/30/2015,3727.8
3/31/2015,3697.38
4/1/2015,3714.89
4/2/2015,3715.27
4/7/2015,3768.72
4/8/2015,3742.63
4/9/2015,3781.79
4/10/2015,3816.76
4/13/2015,3828.78
4/14/2015,3784.53
4/15/2015,3803.55
4/16/2015,3751.72
4/17/2015,3674.05
4/20/2015,3718.04
4/21/2015,3719.38
4/22/2015,3724.49
4/23/2015,3697.88
4/24/2015,3713.96
4/27/2015,3771.45
4/28/2015,3715.42
4/29/2015,3617.11
4/30/2015,3615.59
5/1/2015,3615.59
5/4/2015,3632.94
5/5/2015,3546.56
5/6/2015,3558.03
5/7/2015,3556.21
5/8/2015,3649.48
5/11/2015,3624.41
5/12/2015,3573.1
5/13/2015,3553.42
5/14/2015,3602.22
5/15/2015,3573.07
5/18/2015,3589.22
5/19/2015,3670.52
5/20/2015,3683.48
5/21/2015,3688.72
5/22/2015,3679.14
5/25/2015,3655.41
5/26/2015,3619.3
5/27/2015,3682.87
5/28/2015,3650.71
5/29/2015,3570.78
6/1/2015,3575.04
6/2/2015,3561.89
6/3/2015,3583.82
6/4/2015,3556.38
6/5/2015,3510.01
6/8/2015,3468.31
6/9/2015,3456.79
6/10/2015,3526.48
6/11/2015,3551.91
6/12/2015,3502.77
6/15/2015,3438.07
6/16/2015,3454.09
6/17/2015,3428.76
6/18/2015,3450.45
6/19/2015,3455.8
6/22/2015,3596.07
6/23/2015,3625.97
6/24/2015,3610.95
6/25/2015,3610.91
6/26/2015,3621.37
6/29/2015,3468.9
6/30/2015,3424.3
7/1/2015,3496.28
7/2/2015,3463.25
7/3/2015,3441.76
7/6/2015,3365.2
7/7/2015,3294.19
7/8/2015,3327.5
7/9/2015,3420.03
7/10/2015,3528.81
7/13/2015,3590.43
7/14/2015,3607.19
7/15/2015,3623.87
7/16/2015,3676.41
