date," Price Index for Consumer: Energy(electricity, heat, fuel) "
2015-03-01,100.49
2015-03-08,100.47114285714285
2015-03-15,100.45228571428571
2015-03-22,100.43342857142856
2015-03-29,100.41457142857142
2015-04-05,100.39571428571428
2015-04-12,100.37685714285713
2015-04-19,100.35799999999999
2015-04-26,100.33914285714285
2015-05-03,100.32028571428572
2015-05-10,100.30142857142857
2015-05-17,100.28257142857143
2015-05-24,100.26371428571429
2015-05-31,100.24485714285714
2015-06-07,100.226
2015-06-14,100.20714285714286
2015-06-21,100.18828571428571
2015-06-28,100.16942857142857
2015-07-05,100.15057142857142
2015-07-12,100.13171428571428
2015-07-19,100.11285714285714
2015-07-26,100.094
2015-08-02,100.07514285714285
2015-08-09,100.0562857142857
2015-08-16,100.03742857142856
2015-08-23,100.01857142857142
2015-08-30,99.99971428571428
2015-09-06,99.98085714285715
2015-09-13,99.962
2015-09-20,99.94314285714286
2015-09-27,99.92428571428572
2015-10-04,99.90542857142857
2015-10-11,99.88657142857143
2015-10-18,99.86771428571429
2015-10-25,99.84885714285714
2015-11-01,99.83
2015-11-08,99.71538461538461
2015-11-15,99.60076923076923
2015-11-22,99.48615384615384
2015-11-29,99.37153846153846
2015-12-06,99.25692307692307
2015-12-13,99.1423076923077
2015-12-20,99.0276923076923
2015-12-27,98.91307692307691
2016-01-03,98.79846153846154
2016-01-10,98.68384615384615
2016-01-17,98.56923076923077
2016-01-24,98.45461538461538
2016-01-31,98.34
2016-02-07,98.22538461538461
2016-02-14,98.11076923076922
2016-02-21,97.99615384615385
2016-02-28,97.88153846153845
2016-03-06,97.76692307692308
2016-03-13,97.65230769230769
2016-03-20,97.5376923076923
2016-03-27,97.42307692307692
2016-04-03,97.30846153846153
2016-04-10,97.19384615384615
2016-04-17,97.07923076923076
2016-04-24,96.96461538461539
2016-05-01,96.85
2016-05-08,96.92542857142857
2016-05-15,97.00085714285714
2016-05-22,97.0762857142857
2016-05-29,97.15171428571428
2016-06-05,97.22714285714285
2016-06-12,97.30257142857143
